App,Category,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Genre_1,Genre_2,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4,159,19000000,10000,True,0.0,Everyone,Art & Design,nan,2018-07-01,1.0.0,4.0.3
1,Coloring book moana,ART_AND_DESIGN,3,967,14000000,500000,True,0.0,Everyone,Art & Design,Pretend Play,2018-01-15,2.0.0,4.0.3
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4,87510,8700000,5000000,True,0.0,Everyone,Art & Design,nan,2018-01-08,1.2.4,4.0.3
3,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4,967,2800000,100000,True,0.0,Everyone,Art & Design,Creativity,2018-06-20,1.1,4.4
4,Paper flowers instructions,ART_AND_DESIGN,4,167,5600000,50000,True,0.0,Everyone,Art & Design,nan,2017-03-26,1.0,2.3
5,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3,178,19000000,50000,True,0.0,Everyone,Art & Design,nan,2018-04-26,1.1,4.0.3
6,Infinite Painter,ART_AND_DESIGN,4,36815,29000000,1000000,True,0.0,Everyone,Art & Design,nan,2018-06-14,6.1.61.1,4.2
7,Garden Coloring Book,ART_AND_DESIGN,4,13791,33000000,1000000,True,0.0,Everyone,Art & Design,nan,2017-09-20,2.9.2,3.0
8,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4,121,3100000,10000,True,0.0,Everyone,Art & Design,Creativity,2018-03-07,2.8,4.0.3
9,Text on Photo - Fonteee,ART_AND_DESIGN,4,13880,28000000,1000000,True,0.0,Everyone,Art & Design,nan,2017-10-27,1.0.4,4.1
10,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4,8788,12000000,1000000,True,0.0,Everyone,Art & Design,nan,2018-07-31,1.0.15,4.0
11,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4,44829,20000000,10000000,True,0.0,Teen,Art & Design,nan,2018-02-04,3.8,4.1
12,Mandala Coloring Book,ART_AND_DESIGN,4,4326,21000000,100000,True,0.0,Everyone,Art & Design,nan,2018-06-26,1.0.4,4.4
13,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4,1518,37000000,100000,True,0.0,Everyone,Art & Design,nan,2018-03-08,1.2.3,2.3
14,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4,3632,5500000,500000,True,0.0,Everyone,Art & Design,nan,2018-07-31,3.1,4.1
15,350 Diy Room Decor Ideas,ART_AND_DESIGN,4,27,17000000,10000,True,0.0,Everyone,Art & Design,nan,2017-07-11,1.0,2.3
16,FlipaClip - Cartoon animation,ART_AND_DESIGN,4,194216,39000000,5000000,True,0.0,Everyone,Art & Design,nan,2018-03-08,2.2.5,4.0.3
17,ibis Paint X,ART_AND_DESIGN,4,224399,31000000,10000000,True,0.0,Everyone,Art & Design,nan,2018-07-30,5.5.4,4.1
18,Logo Maker - Small Business,ART_AND_DESIGN,4,450,14000000,100000,True,0.0,Everyone,Art & Design,nan,2018-04-20,4.0,4.1
19,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4,654,12000000,100000,True,0.0,Everyone,Art & Design,nan,2018-03-20,1.1,4.0.3
20,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4,7699,4200000,500000,True,0.0,Everyone 10+,Art & Design,nan,2018-12-07,2.2.6.2,4.0.3
21,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4,118,23000000,50000,True,0.0,Everyone,Art & Design,nan,2018-07-07,1.1.3,4.1
22,Harley Quinn wallpapers HD,ART_AND_DESIGN,4,192,6000000,10000,True,0.0,Everyone,Art & Design,nan,2018-04-25,1.5,3.0
23,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4,20260,25000000,500000,True,0.0,Everyone,Art & Design,Creativity,2017-11-10,1.0.8,4.0.3
24,Animated Photo Editor,ART_AND_DESIGN,4,203,6100000,100000,True,0.0,Everyone,Art & Design,nan,2018-03-21,1.03,4.0.3
25,Pencil Sketch Drawing,ART_AND_DESIGN,3,136,4600000,10000,True,0.0,Everyone,Art & Design,nan,2018-12-07,6.0,2.3
26,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4,223,4200000,100000,True,0.0,Everyone,Art & Design,nan,2017-08-22,1.0,2.3
27,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4,1120,9200000,100000,True,0.0,Everyone,Art & Design,nan,2018-12-07,6.7.12.2018,4.0.3
28,Art Drawing Ideas,ART_AND_DESIGN,4,227,5200000,50000,True,0.0,Everyone,Art & Design,nan,2018-05-31,1.2,2.3
29,Anime Manga Coloring Book,ART_AND_DESIGN,4,5035,11000000,100000,True,0.0,Everyone,Art & Design,nan,2018-07-19,2.20,4.0
30,Easy Origami Ideas,ART_AND_DESIGN,4,1015,11000000,100000,True,0.0,Everyone,Art & Design,nan,2018-06-01,1.1.0,4.1
31,I Creative Idea,ART_AND_DESIGN,4,353,4200000,10000,True,0.0,Teen,Art & Design,nan,2018-04-27,1.6,4.1
32,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3,564,9200000,100000,True,0.0,Everyone,Art & Design,nan,2018-11-07,2.1,4.1
33,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4,8145,24000000,500000,True,0.0,Everyone,Art & Design,Creativity,2018-02-08,1.0.9,4.4
34,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4,158,11000000,10000,True,0.0,Everyone,Art & Design,nan,2017-11-29,1.3,4.0.3
35,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9400000,500000,True,0.0,Everyone,Art & Design,nan,2018-03-31,1,4.0
36,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4,117,15000000,10000,True,0.0,Everyone,Art & Design,nan,2018-07-20,2.0.1,4.0.3
37,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4,176,10000000,100000,True,0.0,Everyone,Art & Design,nan,2018-02-04,1.0,4.0.3
38,Paint Splash!,ART_AND_DESIGN,3,2206,1200000,100000,True,0.0,Everyone,Art & Design,Creativity,2018-04-15,1.46,4.1
39,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4,26,12000000,10000,True,0.0,Everyone,Art & Design,nan,2018-03-01,1.0.0,4.1
40,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4,174531,24000000,10000000,True,0.0,Everyone,Art & Design,nan,2018-07-31,1.6.1,4.1
41,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4,1070,26000000,100000,True,0.0,Everyone,Art & Design,nan,2017-11-14,1.6,4.1
42,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4,85,8000000,100000,True,0.0,Everyone,Art & Design,nan,2017-12-17,2.0.0,4.1
43,How To Draw Food,ART_AND_DESIGN,4,845,7900000,100000,True,0.0,Everyone,Art & Design,nan,2018-05-28,1.0,2.3
44,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4,367,25000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-10-05,1.0,4.0.3
45,Real Tractor Farming,AUTO_AND_VEHICLES,4,1598,56000000,1000000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-26,11.0,4.1
46,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3,284,57000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-26,3.0,4.1
47,American Muscle Car Race,AUTO_AND_VEHICLES,3,129,35000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-26,3.0,4.1
48,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4,542,33000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-31,4.0,4.1
49,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4,10479,33000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-18,1.7.1,4.0
50,Gas Prices (Germany only),AUTO_AND_VEHICLES,4,805,5600000,50000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-29,2.5.1,4.4
51,Extreme Rally Championship,AUTO_AND_VEHICLES,4,129,54000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-26,3.0,4.1
52,Restart Navigator,AUTO_AND_VEHICLES,4,1403,201000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2014-08-26,1.0.1,2.2
53,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3,3971,3600000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-07-30,2.493,4.4
54,CityBus Lviv,AUTO_AND_VEHICLES,4,534,5700000,10000,True,0.0,Everyone,Auto & Vehicles,nan,2018-08-07,1.9.1,4.0.3
55,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4,7774,17000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-03-07,1.7,4.2
